,Unnamed: 0,ID,Name,Dia_chi,Dan_toc,So_thich_ca_nhan,Tuoi,Gioi_tinh,Ngoai_ngu,Y_thuc_trach_nhiem,Hot_work,Bang_cap,Xep_loai_bang,Truong_dao_tao,Mang_cong_viec,Nam_kinh_nghiem,So_truong,Vi_tri,He_so_trach_nhiem,Thanh_tich,Nguong_luong,Nang_luc_work,Thoi_gian_gan_bo,Luong_cu,Luong,Unnamed: 0,ID,di_muon,di_ve_som,vang_co_phep,vang_khong_phep,OT,muc_tieu_dat_duoc,du_an,chat_luong_du_an,thoi_han_hop_dong,ngay_danh_gia_cuoi,so_nam_o_cong_ty,so_nam_trong_vi_tri_hien_tai,ngay_tang_luong_cuoi,tinh_trang_lam_viec,tinh_trang_hon_nhan,so_con,chieu_cao,can_nang,tinh_trang_suc_khoe,Hut_thuoc,Uong_ruou_bia,Phuong_tien_di_chuyen
2509,2509,FSI_2509,Luna,Tinh le,Kinh,Gym,25,Nam,Khong chung chi,D,D,Khong bang cap,Khong xep loai,Khong di hoc,PM,0,None,Nhan vien,1.0,None,30,B,1,14.0,14.7,2509,FSI_2510,3,2,3,1,1,80,3,4,2,17/10/2019 ,0,3,07/07/2020 ,part time,chua co gia dinh,2,175,70,dang bi benh,khong,khong,xe may
2510,2510,FSI_2510,Ngoc,Tinh le,Kinh,Cau long,35,Nu,Tieng anh toiec,D,B,Cao dang,Trung binh,EPU,Ky su R&D,4,Tools,Teamlead,1.5,None,25,D,4,15.0,15.75,2510,FSI_2511,3,1,1,4,5,90,0,1,2,30/08/2020 ,0,3,20/05/2020 ,part time,chua co gia dinh,3,175,50,khong bi benh,co,khong,oto
2511,2511,FSI_2511,Hermione,Ha Noi,Kinh,Cau long,21,Nam,Khong chung chi,C,A,Dai hoc,Trung binh,VNU,Lap trinh vien,1,Java,Nhan vien,1.0,Nhan tai dat viet,25,A,0,8.0,8.4,2511,FSI_2512,2,4,0,0,0,80,0,0,2,04/10/2019 ,4,1,13/12/2019 ,part time,co gia dinh,1,180,60,khong bi benh,khong,co,bus
2512,2512,FSI_2512,Ngoc,Tinh le,Kinh,Yoga,28,Nu,Khong chung chi,C,B,Dai hoc,Trung binh,USTH,Lap trinh vien,7,Python,Nhan vien,1.0,None,25,B,8,6.0,6.3,2512,FSI_2513,4,0,4,1,0,70,1,2,3,12/03/2020 ,5,0,07/03/2020 ,full time,chua co gia dinh,0,160,40,dang bi benh,khong,khong,xe may
2513,2513,FSI_2513,Nam,Tinh le,Kinh,Da bong,20,Nam,Khong chung chi,C,B,Cao dang,kha,UTC,Lap trinh vien,0,Android,Nhan vien,1.0,Khoa hoc sang tao,25,A,0,20.0,21.0,2513,FSI_2514,3,1,0,0,0,100,5,1,1,14/08/2020 ,3,5,15/06/2020 ,full time,co gia dinh,0,160,70,dang bi benh,khong,co,oto
2514,2514,FSI_2514,Long,Tinh le,Kinh,xem phim,23,Nam,Khong chung chi,C,B,Khong bang cap,Khong xep loai,Khong di hoc,Lap trinh vien,2,Ruby,Teamlead,1.5,None,25,A,4,30.0,31.5,2514,FSI_2515,1,1,3,3,1,100,3,2,1,20/03/2020 ,0,1,11/11/2019 ,part time,co gia dinh,2,170,70,dang bi benh,co,khong,xe may
2515,2515,FSI_2515,Nam,Tinh le,Kinh,xem phim,33,Nu,Khong chung chi,A,B,Dai hoc,Gioi,TLU,Lap trinh vien,8,Android,Teamlead,1.5,Nhan tai dat viet,25,C,4,27.0,28.35,2515,FSI_2516,5,0,0,2,3,70,4,1,3,07/08/2020 ,3,2,03/05/2020 ,full time,co gia dinh,1,180,60,khong bi benh,khong,co,xe may
2516,2516,FSI_2516,Lan,Ha Noi,Kinh,Da bong,26,Nam,Tieng Nga,A,B,Cao dang,kha,HUST,Ky su R&D,0,Data Science,Nhan vien,1.0,None,25,D,4,8.0,8.4,2516,FSI_2517,0,0,3,0,1,70,3,5,1,04/07/2020 ,4,0,08/05/2020 ,part time,co gia dinh,2,160,40,khong bi benh,khong,khong,bus
2517,2517,FSI_2517,Ngoc,Tinh le,Kinh,Cau long,18,Nam,Khong chung chi,D,B,Khong bang cap,Khong xep loai,Khong di hoc,Lap trinh vien,0,Android,Nhan vien,1.0,Oympic toan,25,D,0,24.0,25.2,2517,FSI_2518,2,5,0,4,2,80,0,0,1,18/12/2019 ,1,0,08/02/2020 ,part time,chua co gia dinh,2,170,50,dang bi benh,co,khong,xe may
2518,2518,FSI_2518,Harry,Tinh le,Kinh,Cau long,30,Nu,Tieng anh toiec,B,D,Khong bang cap,Khong xep loai,Khong di hoc,Xu ly data,9,None,Nhan vien,1.0,None,15,C,1,10.0,10.5,2518,FSI_2519,4,0,3,5,0,90,2,5,1,14/12/2019 ,0,3,29/12/2019 ,part time,chua co gia dinh,3,150,60,khong bi benh,co,khong,xe may
2519,2519,FSI_2519,Long,Tinh le,Kinh,Gym,29,Nam,Tieng anh toiec,A,D,Cao dang,Gioi,USTH,Tu van ban hang,4,None,Nhan vien,1.0,None,15,B,2,7.0,7.35,2519,FSI_2520,0,5,1,0,1,100,1,2,1,23/05/2020 ,0,1,07/10/2019 ,part time,chua co gia dinh,0,165,70,dang bi benh,co,co,xe may
2520,2520,FSI_2520,Long,Ha Noi,Kinh,xem phim,22,Nu,Khong chung chi,B,C,Cao dang,Gioi,UTC,Lap trinh vien,3,PHP,Teamlead,1.5,Khoa hoc sang tao,25,C,2,7.5,7.875,2520,FSI_2521,2,1,3,2,0,70,1,0,1,29/07/2020 ,5,4,12/05/2020 ,nghi phep,co gia dinh,0,160,70,khong bi benh,khong,co,xe may
2521,2521,FSI_2521,Luna,Tinh le,Kinh,Gym,22,Nu,Tieng Nhat,B,D,Dai hoc,Xuat sac,TLU,Tu van ban hang,0,None,Nhan vien,1.0,None,15,C,2,6.0,6.3,2521,FSI_2522,3,5,2,0,3,100,2,2,1,24/01/2020 ,0,0,07/09/2020 ,part time,chua co gia dinh,2,180,40,khong bi benh,co,khong,bus
2522,2522,FSI_2522,Ngoc,Ha Noi,Kinh,Yoga,19,Nam,Tieng Nhat,D,D,Cao dang,kha,HUST,Tu van ban hang,0,None,Teamlead,1.5,None,15,C,1,21.0,22.05,2522,FSI_2523,3,1,1,2,1,100,2,4,1,19/04/2020 ,3,2,02/10/2019 ,part time,co gia dinh,0,150,60,dang bi benh,khong,co,xe may
2523,2523,FSI_2523,Long,Tinh le,Kinh,Cau ca,36,Nam,Khong chung chi,D,B,Thac si,kha,USTH,Lap trinh vien,3,.NET,Nhan vien,1.0,None,25,A,6,17.0,17.85,2523,FSI_2524,2,3,4,3,1,80,5,5,1,12/07/2020 ,1,4,27/06/2020 ,part time,chua co gia dinh,2,165,40,khong bi benh,co,khong,xe may
2524,2524,FSI_2524,Lan,Tinh le,Kinh,Nghe nhac,18,Nu,Tieng anh toiec,D,D,Dai hoc,Gioi,HUST,Xu ly data,0,None,Nhan vien,1.0,None,15,D,0,8.0,8.4,2524,FSI_2525,3,0,5,3,2,80,1,3,1,30/08/2020 ,5,4,02/08/2020 ,nghi phep,co gia dinh,2,175,40,dang bi benh,khong,khong,bus
2525,2525,FSI_2525,Harry,Tinh le,Nung,xem phim,24,Nam,Khong chung chi,A,D,Cao dang,Trung binh,HUST,BA,4,None,Teamlead,1.5,None,25,B,4,16.5,17.325,2525,FSI_2526,0,4,1,0,0,70,3,2,1,25/09/2019 ,0,2,29/07/2020 ,nghi phep,co gia dinh,1,160,50,dang bi benh,co,co,bus
2526,2526,FSI_2526,Luna,Tinh le,Kinh,Yoga,26,Nam,Tieng anh toiec,A,B,Cao dang,Xuat sac,HUST,Lap trinh vien,6,Android,Nhan vien,1.0,None,25,D,7,10.0,10.5,2526,FSI_2527,1,4,0,0,3,100,0,1,1,04/02/2020 ,0,0,26/09/2019 ,nghi phep,chua co gia dinh,1,170,50,dang bi benh,co,khong,xe may
2527,2527,FSI_2527,Lan,Tinh le,Kinh,Da bong,23,Nu,Tieng anh toiec,A,C,Khong bang cap,Khong xep loai,Khong di hoc,Lap trinh vien,2,PHP,Nhan vien,1.0,None,25,B,2,18.0,18.9,2527,FSI_2528,0,5,0,2,4,80,2,5,1,17/07/2020 ,0,3,14/04/2020 ,nghi phep,co gia dinh,1,160,40,dang bi benh,co,co,oto
2528,2528,FSI_2528,Harry,Ha Noi,Kinh,xem phim,21,Nam,Khong chung chi,D,D,Khong bang cap,Khong xep loai,Khong di hoc,BA,0,None,Nhan vien,1.0,None,25,D,0,5.0,5.25,2528,FSI_2529,1,0,3,3,0,80,2,2,1,03/02/2020 ,5,3,03/04/2020 ,full time,co gia dinh,2,150,70,khong bi benh,khong,co,xe may
2529,2529,FSI_2529,Luna,Tinh le,Kinh,xem phim,28,Nam,Tieng anh toiec,D,D,Cao dang,kha,TLU,Tu van ban hang,1,None,Nhan vien,1.0,None,15,B,6,11.0,11.55,2529,FSI_2530,2,1,5,0,3,70,0,4,1,07/01/2020 ,3,0,10/05/2020 ,nghi phep,chua co gia dinh,1,180,40,khong bi benh,co,khong,xe may
2530,2530,FSI_2530,Ngoc,Tinh le,Kinh,Cau long,33,Nam,Tieng anh toiec,B,A,Dai hoc,Xuat sac,VNU,Lap trinh vien,13,Java,Nhan vien,1.0,None,25,B,11,9.0,9.45,2530,FSI_2531,0,2,3,5,0,100,1,4,1,21/04/2020 ,0,2,14/08/2020 ,part time,co gia dinh,2,160,60,khong bi benh,co,khong,bus
2531,2531,FSI_2531,Harry,Tinh le,Kinh,xem phim,22,Nu,Tieng anh toiec,D,D,Cao dang,Gioi,TLU,Tester,3,None,Nhan vien,1.0,None,15,B,3,4.0,4.2,2531,FSI_2532,0,0,1,2,1,90,1,2,1,19/04/2020 ,0,3,27/02/2020 ,part time,chua co gia dinh,3,175,50,khong bi benh,khong,co,bus
2532,2532,FSI_2532,Long,Tinh le,Nung,Nghe nhac,27,Nam,Tieng Nga,B,D,Cao dang,kha,HAUI,BA,5,None,Nhan vien,1.0,Khoa hoc sang tao,25,B,2,17.0,17.85,2532,FSI_2533,4,2,4,3,5,90,0,2,1,04/02/2020 ,0,0,09/04/2020 ,part time,co gia dinh,0,165,60,khong bi benh,co,co,bus
2533,2533,FSI_2533,Ron,Tinh le,Kinh,xem phim,19,Nam,Khong chung chi,B,D,Cao dang,Trung binh,HUST,Tu van ban hang,0,None,Nhan vien,1.0,None,15,B,0,14.0,14.7,2533,FSI_2534,0,2,1,3,4,100,1,1,1,20/12/2019 ,2,0,23/01/2020 ,full time,chua co gia dinh,0,170,70,khong bi benh,khong,khong,xe may
2534,2534,FSI_2534,Ngoc,Tinh le,Kinh,Cau ca,26,Nam,Tieng anh ielts,B,D,Khong bang cap,Khong xep loai,Khong di hoc,Tu van ban hang,6,None,Nhan vien,1.0,None,15,C,5,6.0,6.3,2534,FSI_2535,4,0,1,1,0,100,2,2,2,15/03/2020 ,2,1,11/10/2019 ,nghi phep,co gia dinh,2,160,60,dang bi benh,khong,khong,oto
2535,2535,FSI_2535,Lan,Tinh le,Cham,Yoga,23,Nu,Khong chung chi,A,B,Dai hoc,Trung binh,USTH,Lap trinh vien,0,.NET,Nhan vien,1.0,None,25,C,3,22.0,23.1,2535,FSI_2536,2,2,1,3,2,100,4,4,1,10/06/2020 ,3,1,04/06/2020 ,part time,co gia dinh,2,150,70,khong bi benh,co,co,bus
2536,2536,FSI_2536,Harry,Tinh le,Hoa,Gym,38,Nu,Tieng anh toiec,D,D,Cao dang,Trung binh,TLU,Ke toan,18,None,Nhan vien,1.0,Oympic toan,15,C,2,10.0,10.5,2536,FSI_2537,3,0,0,0,5,80,3,0,1,22/05/2020 ,0,0,12/03/2020 ,part time,co gia dinh,2,175,60,dang bi benh,khong,khong,oto
2537,2537,FSI_2537,Long,Tinh le,Hoa,Da bong,38,Nam,Khong chung chi,B,A,Cao dang,Xuat sac,HNUE,Lap trinh vien,12,Java,Technical leader,1.0,Nhan tai dat viet,25,A,14,23.0,24.15,2537,FSI_2538,1,2,5,5,3,80,0,0,1,02/12/2019 ,0,0,21/11/2019 ,full time,chua co gia dinh,2,165,70,dang bi benh,khong,khong,xe may
2538,2538,FSI_2538,Nam,Tinh le,Kinh,Cau long,19,Nam,Tieng Nga,D,D,Cao dang,Gioi,TLU,PM,0,None,Nhan vien,1.0,None,30,A,0,11.0,11.55,2538,FSI_2539,0,3,5,5,0,90,1,3,1,03/05/2020 ,1,0,21/03/2020 ,part time,co gia dinh,1,175,70,khong bi benh,co,khong,bus
2539,2539,FSI_2539,Ngoc,Tinh le,Kinh,xem phim,22,Nu,Khong chung chi,C,D,Cao dang,Xuat sac,TLU,BA,3,None,Nhan vien,1.0,None,25,D,3,21.0,22.05,2539,FSI_2540,3,0,0,0,3,80,2,0,1,05/03/2020 ,0,0,24/09/2019 ,part time,co gia dinh,1,150,70,dang bi benh,co,khong,xe may
2540,2540,FSI_2540,Lan,Tinh le,Mong,Cau long,21,Nu,Tieng anh toiec,C,A,Khong bang cap,Khong xep loai,Khong di hoc,Lap trinh vien,0,ios,Nhan vien,1.0,None,25,B,1,17.0,17.85,2540,FSI_2541,0,5,2,3,2,70,4,0,1,27/01/2020 ,1,4,23/03/2020 ,full time,co gia dinh,0,180,40,dang bi benh,khong,khong,xe may
2541,2541,FSI_2541,Hermione,Tinh le,Kinh,Nghe nhac,26,Nu,Khong chung chi,A,C,Dai hoc,kha,TLU,Lap trinh vien,1,PHP,Nhan vien,1.0,Nhan tai dat viet,25,C,6,21.0,22.05,2541,FSI_2542,2,4,0,0,0,90,0,2,1,01/08/2020 ,0,2,14/04/2020 ,part time,co gia dinh,2,160,40,dang bi benh,co,khong,xe may
2542,2542,FSI_2542,Long,Tinh le,Kinh,Yoga,27,Nu,Tieng Nga,A,D,Cao dang,Gioi,UTC,Tu van ban hang,6,None,Nhan vien,1.0,None,15,A,7,10.0,10.5,2542,FSI_2543,0,5,3,0,5,90,1,0,3,14/05/2020 ,2,2,07/07/2020 ,nghi phep,co gia dinh,2,175,50,dang bi benh,khong,khong,xe may
2543,2543,FSI_2543,Ngoc,Tinh le,Kinh,Da bong,23,Nu,Khong chung chi,D,A,Cao dang,Xuat sac,TLU,Lap trinh vien,2,Java,Teamlead,1.5,None,25,D,0,18.0,18.9,2543,FSI_2544,0,0,3,1,1,100,3,0,1,08/09/2019 ,2,3,08/04/2020 ,full time,chua co gia dinh,2,150,60,khong bi benh,co,khong,bus
2544,2544,FSI_2544,Harry,Ha Noi,Kinh,Cau long,44,Nam,Khong chung chi,C,A,Dai hoc,Gioi,EPU,Lap trinh vien,3,C++,Nhan vien,1.0,None,25,D,2,22.0,23.1,2544,FSI_2545,1,5,2,1,3,100,4,0,1,03/01/2020 ,2,0,20/04/2020 ,nghi phep,chua co gia dinh,0,165,40,dang bi benh,khong,co,oto
2545,2545,FSI_2545,Long,Tinh le,Kinh,Nghe nhac,24,Nam,Khong chung chi,B,A,Dai hoc,kha,VNU,Lap trinh vien,4,C++,Nhan vien,1.0,None,25,D,2,21.0,22.05,2545,FSI_2546,1,2,3,0,1,100,5,1,3,15/06/2020 ,1,0,23/05/2020 ,part time,chua co gia dinh,3,160,70,khong bi benh,khong,khong,oto
2546,2546,FSI_2546,Ngoc,Tinh le,Kinh,Da bong,57,Nu,Tieng anh toiec,C,C,Dai hoc,Gioi,USTH,Lap trinh vien,24,PHP,Nhan vien,1.0,None,25,A,4,19.0,19.95,2546,FSI_2547,2,2,4,5,0,80,2,5,3,25/08/2020 ,0,2,14/05/2020 ,part time,co gia dinh,2,170,60,khong bi benh,khong,co,xe may
2547,2547,FSI_2547,Ngoc,Tinh le,Kinh,Da bong,21,Nam,Tieng anh toiec,A,D,Dai hoc,Trung binh,USTH,PM,1,None,Nhan vien,1.0,None,30,A,1,17.0,17.85,2547,FSI_2548,2,4,1,5,3,70,2,3,1,26/01/2020 ,0,4,11/09/2019 ,nghi phep,co gia dinh,1,170,60,dang bi benh,co,co,xe may
2548,2548,FSI_2548,Ron,Ha Noi,Kinh,Yoga,19,Nam,Tieng anh toiec,A,D,Cao dang,kha,TLU,PM,0,None,Nhan vien,1.0,None,30,C,1,26.0,27.3,2548,FSI_2549,2,3,2,4,1,100,4,5,1,07/02/2020 ,0,2,05/02/2020 ,full time,co gia dinh,1,180,40,khong bi benh,co,co,xe may
2549,2549,FSI_2549,Harry,Tinh le,Kinh,Da bong,25,Nam,Khong chung chi,A,A,Khong bang cap,Khong xep loai,Khong di hoc,Lap trinh vien,0,C++,Teamlead,1.5,Oympic toan,25,B,3,18.0,18.9,2549,FSI_2550,2,1,2,0,4,80,1,2,1,29/11/2019 ,1,4,19/03/2020 ,part time,chua co gia dinh,1,170,70,dang bi benh,co,co,xe may
2550,2550,FSI_2550,Hermione,Tinh le,Kinh,Cau ca,18,Nu,Khong chung chi,C,A,Khong bang cap,Khong xep loai,Khong di hoc,Lap trinh vien,0,ios,Nhan vien,1.0,None,25,B,1,19.0,19.95,2550,FSI_2551,3,3,0,4,4,80,0,2,3,18/01/2020 ,3,0,04/03/2020 ,nghi phep,chua co gia dinh,2,170,60,dang bi benh,co,khong,oto
2551,2551,FSI_2551,Harry,Tinh le,Kinh,Cau ca,38,Nu,Tieng anh toiec,D,C,Cao dang,Trung binh,HAUI,Lap trinh vien,17,PHP,Nhan vien,1.0,olympic tin,25,A,6,16.0,16.8,2551,FSI_2552,0,1,4,0,4,90,3,0,1,20/10/2019 ,2,0,02/11/2019 ,nghi phep,co gia dinh,2,165,40,dang bi benh,khong,co,oto
2552,2552,FSI_2552,Ron,Tinh le,Kinh,Da bong,29,Nu,Khong chung chi,D,D,Khong bang cap,Khong xep loai,Khong di hoc,BA,0,None,Teamlead,1.5,Oympic toan,25,A,1,31.5,33.075,2552,FSI_2553,5,0,0,5,0,100,1,4,2,13/10/2019 ,4,0,22/03/2020 ,part time,chua co gia dinh,3,180,50,dang bi benh,khong,khong,xe may
2553,2553,FSI_2553,Luna,Tinh le,Kinh,Cau long,23,Nu,Khong chung chi,C,D,Dai hoc,kha,HNUE,BA,3,None,Nhan vien,1.0,Oympic toan,25,C,4,5.0,5.25,2553,FSI_2554,0,0,0,0,0,90,3,4,2,09/09/2019 ,4,4,11/01/2020 ,full time,co gia dinh,2,150,40,khong bi benh,khong,co,xe may
2554,2554,FSI_2554,Ron,Tinh le,Kinh,Gym,27,Nam,Khong chung chi,C,A,Cao dang,Trung binh,HUST,Lap trinh vien,2,C++,Nhan vien,1.0,None,25,A,4,18.0,18.9,2554,FSI_2555,3,0,2,3,3,80,4,4,1,04/03/2020 ,2,2,01/02/2020 ,part time,chua co gia dinh,1,150,70,dang bi benh,co,khong,xe may
2555,2555,FSI_2555,Lan,Tinh le,Kinh,Yoga,25,Nu,Tieng Phap,A,D,Cao dang,kha,EPU,Ke toan,1,None,Nhan vien,1.0,Oympic toan,15,D,5,9.0,9.45,2555,FSI_2556,2,3,1,4,4,100,0,5,1,05/08/2020 ,0,0,06/02/2020 ,part time,co gia dinh,0,175,40,dang bi benh,co,co,oto
2556,2556,FSI_2556,Harry,Tinh le,Kinh,Nghe nhac,19,Nam,Khong chung chi,D,B,Cao dang,Trung binh,UTC,Lap trinh vien,0,Python,Nhan vien,1.0,None,25,C,0,18.0,18.9,2556,FSI_2557,1,0,2,0,1,90,1,5,1,27/04/2020 ,5,0,11/09/2019 ,full time,co gia dinh,2,175,50,khong bi benh,co,khong,xe may
2557,2557,FSI_2557,Long,Tinh le,Kinh,Cau long,27,Nu,Khong chung chi,D,D,Cao dang,Trung binh,HUST,Xu ly data,8,None,Nhan vien,1.0,None,15,C,0,10.0,10.5,2557,FSI_2558,4,0,1,0,0,100,0,3,1,21/02/2020 ,0,5,03/08/2020 ,part time,chua co gia dinh,2,175,40,khong bi benh,co,khong,oto
2558,2558,FSI_2558,Hermione,Tinh le,Kinh,xem phim,29,Nam,Tieng Nga,D,B,Khong bang cap,Khong xep loai,Khong di hoc,Ky su R&D,5,Data Science,Nhan vien,1.0,Khoa hoc sang tao,25,B,2,13.0,13.65,2558,FSI_2559,0,5,3,1,1,100,2,0,2,22/12/2019 ,2,0,26/07/2020 ,part time,chua co gia dinh,1,170,70,khong bi benh,khong,co,bus
2559,2559,FSI_2559,Hermione,Tinh le,Kinh,Da bong,29,Nu,Tieng Phap,C,B,Dai hoc,Xuat sac,HUST,Ky su R&D,8,Data Science,Nhan vien,1.0,None,25,B,4,11.0,11.55,2559,FSI_2560,0,1,5,2,4,90,5,5,2,26/04/2020 ,2,2,08/03/2020 ,part time,chua co gia dinh,0,150,40,khong bi benh,co,co,xe may
2560,2560,FSI_2560,Long,Tinh le,Kinh,Yoga,28,Nam,Tieng anh toiec,D,B,Dai hoc,kha,USTH,Lap trinh vien,8,.NET,Nhan vien,1.0,None,25,A,0,9.0,9.45,2560,FSI_2561,0,1,0,0,4,100,2,3,1,05/11/2019 ,5,0,15/02/2020 ,part time,chua co gia dinh,2,150,50,dang bi benh,co,co,xe may
2561,2561,FSI_2561,Nam,Tinh le,Nung,Cau long,18,Nam,Tieng anh toiec,A,B,Dai hoc,Gioi,HNUE,Ky su R&D,0,NLP,Nhan vien,1.0,None,25,D,0,24.0,25.2,2561,FSI_2562,1,2,0,5,4,80,2,0,2,06/03/2020 ,3,0,26/05/2020 ,nghi phep,co gia dinh,0,170,60,khong bi benh,co,co,xe may
2562,2562,FSI_2562,Hermione,Tinh le,Kinh,Cau long,30,Nu,Tieng Nhat,A,B,Cao dang,Gioi,VNU,Lap trinh vien,0,Ruby,Nhan vien,1.0,None,25,D,11,10.0,10.5,2562,FSI_2563,4,1,1,2,0,80,5,5,1,06/06/2020 ,4,4,11/01/2020 ,part time,chua co gia dinh,1,170,50,khong bi benh,co,khong,xe may
2563,2563,FSI_2563,Luna,Ha Noi,Kinh,Cau long,58,Nam,Tieng anh toiec,A,D,Thac si,Gioi,VNU,PM,38,None,Nhan vien,1.0,None,30,A,2,19.0,19.95,2563,FSI_2564,0,1,0,0,1,90,0,2,1,12/01/2020 ,2,0,18/02/2020 ,full time,co gia dinh,1,175,50,khong bi benh,co,co,bus
2564,2564,FSI_2564,Ngoc,Tinh le,Kinh,Cau ca,27,Nam,Tieng anh toiec,A,B,Dai hoc,Trung binh,VNU,Lap trinh vien,0,.NET,Nhan vien,1.0,None,25,B,4,4.0,4.2,2564,FSI_2565,2,2,0,1,5,80,2,5,1,20/06/2020 ,4,4,16/11/2019 ,full time,chua co gia dinh,0,175,50,dang bi benh,khong,khong,xe may
2565,2565,FSI_2565,Lan,Tinh le,Kinh,Gym,29,Nam,Khong chung chi,B,D,Cao dang,kha,EPU,BA,3,None,Nhan vien,1.0,None,25,A,8,13.0,13.65,2565,FSI_2566,1,2,3,2,5,90,5,0,3,28/09/2019 ,0,2,09/04/2020 ,full time,chua co gia dinh,2,160,60,khong bi benh,co,khong,oto
2566,2566,FSI_2566,Harry,Tinh le,Mong,Yoga,28,Nam,Khong chung chi,C,A,Dai hoc,Trung binh,USTH,Lap trinh vien,2,Java,Nhan vien,1.0,olympic tin,25,C,4,23.0,24.15,2566,FSI_2567,1,1,1,5,2,80,0,3,1,13/08/2020 ,1,0,13/08/2020 ,full time,chua co gia dinh,2,160,40,dang bi benh,khong,khong,bus
2567,2567,FSI_2567,Harry,Ha Noi,Mong,Cau ca,28,Nam,Tieng Phap,A,D,Dai hoc,kha,UTC,PM,9,None,Nhan vien,1.0,None,30,C,1,20.0,21.0,2567,FSI_2568,4,0,0,1,0,80,5,1,2,29/07/2020 ,0,2,21/03/2020 ,part time,chua co gia dinh,1,180,50,dang bi benh,khong,khong,oto
2568,2568,FSI_2568,Ron,Tinh le,Kinh,Nghe nhac,21,Nu,Tieng anh toiec,A,B,Cao dang,kha,HUST,Lap trinh vien,1,Android,Nhan vien,1.0,None,25,B,1,24.0,25.2,2568,FSI_2569,0,0,0,0,0,70,4,2,2,08/06/2020 ,1,5,05/04/2020 ,part time,chua co gia dinh,0,165,70,dang bi benh,co,khong,xe may
2569,2569,FSI_2569,Nam,Tinh le,Kinh,Cau ca,52,Nam,Tieng anh toiec,A,D,Khong bang cap,Khong xep loai,Khong di hoc,PM,3,None,Nhan vien,1.0,None,30,A,6,4.0,4.2,2569,FSI_2570,4,2,5,0,0,90,0,3,2,07/10/2019 ,4,1,29/04/2020 ,part time,co gia dinh,2,170,70,dang bi benh,khong,khong,xe may
2570,2570,FSI_2570,Nam,Tinh le,Kinh,xem phim,25,Nu,Tieng anh ielts,A,A,Khong bang cap,Khong xep loai,Khong di hoc,Lap trinh vien,4,C++,Nhan vien,1.0,None,25,D,6,14.0,14.7,2570,FSI_2571,3,0,0,1,1,100,5,3,2,03/05/2020 ,0,1,26/04/2020 ,part time,chua co gia dinh,0,165,70,khong bi benh,co,khong,oto
2571,2571,FSI_2571,Lan,Tinh le,Kinh,Yoga,21,Nam,Khong chung chi,C,D,Dai hoc,Xuat sac,VNU,Tu van ban hang,0,None,Nhan vien,1.0,olympic tin,15,D,2,12.0,12.6,2571,FSI_2572,2,4,2,5,0,100,0,0,2,04/06/2020 ,4,4,29/04/2020 ,full time,chua co gia dinh,2,170,40,dang bi benh,co,khong,xe may
2572,2572,FSI_2572,Long,Tinh le,Kinh,Cau ca,23,Nu,Tieng anh toiec,C,D,Dai hoc,Gioi,USTH,Tu van ban hang,2,None,Nhan vien,1.0,None,15,C,2,13.0,13.65,2572,FSI_2573,0,0,2,0,0,80,0,1,1,04/05/2020 ,2,2,14/08/2020 ,full time,chua co gia dinh,1,160,60,dang bi benh,co,khong,xe may
2573,2573,FSI_2573,Long,Tinh le,Kinh,Da bong,23,Nam,Tieng Nhat,B,C,Dai hoc,kha,TLU,Lap trinh vien,1,PHP,Nhan vien,1.0,None,25,A,0,14.0,14.7,2573,FSI_2574,3,0,0,0,2,80,0,2,1,04/04/2020 ,5,0,05/08/2020 ,full time,chua co gia dinh,2,165,50,dang bi benh,khong,khong,bus
2574,2574,FSI_2574,Ngoc,Tinh le,Kinh,xem phim,23,Nam,Tieng anh toiec,A,D,Cao dang,Gioi,USTH,BA,4,None,Nhan vien,1.0,None,25,B,3,24.0,25.2,2574,FSI_2575,4,5,0,2,0,100,2,1,1,12/02/2020 ,3,4,24/07/2020 ,nghi phep,co gia dinh,2,165,50,dang bi benh,co,co,xe may
2575,2575,FSI_2575,Nam,Tinh le,Kinh,Da bong,21,Nam,Khong chung chi,A,B,Cao dang,Trung binh,VNU,Lap trinh vien,0,Android,Nhan vien,1.0,None,25,B,2,14.0,14.7,2575,FSI_2576,0,4,5,0,2,80,2,4,1,19/04/2020 ,5,0,20/10/2019 ,part time,co gia dinh,1,170,50,dang bi benh,co,khong,xe may
2576,2576,FSI_2576,Ngoc,Tinh le,Kinh,Da bong,41,Nu,Tieng anh toiec,B,A,Cao dang,kha,HNUE,Lap trinh vien,0,C++,Nhan vien,1.0,Khoa hoc sang tao,25,C,9,23.0,24.15,2576,FSI_2577,1,0,4,0,2,100,3,0,1,30/08/2020 ,4,0,27/07/2020 ,nghi phep,chua co gia dinh,1,165,70,dang bi benh,co,khong,oto
2577,2577,FSI_2577,Ngoc,Tinh le,Kinh,Da bong,31,Nam,Khong chung chi,B,B,Dai hoc,Xuat sac,USTH,Lap trinh vien,2,.NET,Nhan vien,1.0,None,25,A,0,8.0,8.4,2577,FSI_2578,5,2,2,5,0,80,1,0,2,28/06/2020 ,4,2,16/03/2020 ,part time,co gia dinh,2,180,50,dang bi benh,khong,khong,bus
